service_id,date,exception_type
1984306,20151017,1
1984306,20151024,1
1984306,20151031,1
1984305,20151019,1
1984305,20151020,1
1984305,20151021,1
1984305,20151022,1
1984305,20151023,1
1984305,20151026,1
1984305,20151027,1
1984305,20151028,1
1984305,20151029,1
1984305,20151030,1
1984304,20151010,1
1984304,20151107,1
1984304,20151114,1
1984304,20151121,1
1984304,20151128,1
1984304,20151205,1
1984304,20151212,1
1984304,20151219,1
1984301,20151011,1
1984301,20151018,1
1984301,20151025,1
1984301,20151101,1
1984301,20151108,1
1984301,20151111,1
1984301,20151115,1
1984301,20151122,1
1984301,20151129,1
1984301,20151206,1
1984301,20151213,1
1984302,20151012,1
1984302,20151102,1
1984302,20151109,1
1984302,20151116,1
1984302,20151123,1
1984302,20151130,1
1984302,20151207,1
1984302,20151214,1
1984303,20151007,1
1984303,20151008,1
1984303,20151009,1
1984303,20151013,1
1984303,20151014,1
1984303,20151015,1
1984303,20151016,1
1984303,20151103,1
1984303,20151104,1
1984303,20151105,1
1984303,20151106,1
1984303,20151110,1
1984303,20151112,1
1984303,20151113,1
1984303,20151117,1
1984303,20151118,1
1984303,20151119,1
1984303,20151120,1
1984303,20151124,1
1984303,20151125,1
1984303,20151126,1
1984303,20151127,1
1984303,20151201,1
1984303,20151202,1
1984303,20151203,1
1984303,20151204,1
1984303,20151208,1
1984303,20151209,1
1984303,20151210,1
1984303,20151211,1
1984303,20151215,1
1984303,20151216,1
1984303,20151217,1
1984303,20151218,1
