service_id,date,exception_type
1944546,20151019,1
1944546,20151020,1
1944546,20151021,1
1944546,20151022,1
1944546,20151026,1
1944546,20151027,1
1944546,20151028,1
1944546,20151029,1
1944546,20151221,1
1944546,20151222,1
1944546,20151223,1
1944546,20151228,1
1944546,20151229,1
1944546,20151230,1
1944546,20151231,1
1944547,20151010,1
1944547,20151017,1
1944547,20151024,1
1944547,20151031,1
1944547,20151107,1
1944547,20151114,1
1944547,20151121,1
1944547,20151128,1
1944547,20151205,1
1944547,20151212,1
1944547,20151219,1
1944547,20151226,1
1944548,20151009,1
1944548,20151016,1
1944548,20151106,1
1944548,20151113,1
1944548,20151120,1
1944548,20151127,1
1944548,20151204,1
1944548,20151211,1
1944548,20151218,1
1944549,20151023,1
1944549,20151030,1
1944545,20151007,1
1944545,20151008,1
1944545,20151012,1
1944545,20151013,1
1944545,20151014,1
1944545,20151015,1
1944545,20151102,1
1944545,20151103,1
1944545,20151104,1
1944545,20151105,1
1944545,20151109,1
1944545,20151110,1
1944545,20151112,1
1944545,20151116,1
1944545,20151117,1
1944545,20151118,1
1944545,20151119,1
1944545,20151123,1
1944545,20151124,1
1944545,20151125,1
1944545,20151126,1
1944545,20151130,1
1944545,20151201,1
1944545,20151202,1
1944545,20151203,1
1944545,20151207,1
1944545,20151208,1
1944545,20151209,1
1944545,20151210,1
1944545,20151214,1
1944545,20151215,1
1944545,20151216,1
1944545,20151217,1
1944545,20151224,1
