service_id,date,exception_type
11936689,20151011,1
11936689,20151018,1
11936689,20151025,1
11936689,20151101,1
11936689,20151108,1
11936689,20151115,1
11936689,20151122,1
11936689,20151129,1
11936687,20151008,1
11936687,20151009,1
11936687,20151010,1
11936687,20151013,1
11936687,20151014,1
11936687,20151015,1
11936687,20151016,1
11936687,20151017,1
11936687,20151103,1
11936687,20151104,1
11936687,20151105,1
11936687,20151106,1
11936687,20151107,1
11936687,20151110,1
11936687,20151111,1
11936687,20151113,1
11936687,20151114,1
11936687,20151117,1
11936687,20151118,1
11936687,20151119,1
11936687,20151120,1
11936687,20151121,1
11936687,20151124,1
11936687,20151125,1
11936687,20151126,1
11936687,20151127,1
11936687,20151128,1
1936688,20151019,1
1936688,20151020,1
1936688,20151021,1
1936688,20151022,1
1936688,20151023,1
1936688,20151026,1
1936688,20151027,1
1936688,20151028,1
1936688,20151029,1
1936688,20151030,1
11936688,20151020,1
11936688,20151021,1
11936688,20151022,1
11936688,20151023,1
11936688,20151024,1
11936688,20151027,1
11936688,20151028,1
11936688,20151029,1
11936688,20151030,1
11936688,20151031,1
1936689,20151010,1
1936689,20151017,1
1936689,20151024,1
1936689,20151031,1
1936689,20151107,1
1936689,20151114,1
1936689,20151121,1
1936689,20151128,1
11936686,20151012,1
11936686,20151019,1
11936686,20151026,1
11936686,20151102,1
11936686,20151109,1
11936686,20151112,1
11936686,20151116,1
11936686,20151123,1
1936686,20151011,1
1936686,20151018,1
1936686,20151025,1
1936686,20151101,1
1936686,20151108,1
1936686,20151111,1
1936686,20151115,1
1936686,20151122,1
1936687,20151007,1
1936687,20151008,1
1936687,20151009,1
1936687,20151012,1
1936687,20151013,1
1936687,20151014,1
1936687,20151015,1
1936687,20151016,1
1936687,20151102,1
1936687,20151103,1
1936687,20151104,1
1936687,20151105,1
1936687,20151106,1
1936687,20151109,1
1936687,20151110,1
1936687,20151112,1
1936687,20151113,1
1936687,20151116,1
1936687,20151117,1
1936687,20151118,1
1936687,20151119,1
1936687,20151120,1
1936687,20151123,1
1936687,20151124,1
1936687,20151125,1
1936687,20151126,1
1936687,20151127,1
